Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M-T-18_R1_001	M-T-18_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33236212.0	4.9 Gbp	0.0	150.0	34.0	43.47268757767393	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	warn
M-T-18_R2_001	M-T-18_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33236212.0	4.9 Gbp	0.0	150.0	34.0	43.692111979264084	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
M-T-193_R1_001	M-T-193_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36747760.0	5.5 Gbp	0.0	150.0	33.0	39.8135300452324	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-193_R2_001	M-T-193_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36747760.0	5.5 Gbp	0.0	150.0	33.0	38.73682739784622	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-20_R1_001	M-T-20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37411320.0	5.6 Gbp	0.0	150.0	33.0	40.26525094579485	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-20_R2_001	M-T-20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37411320.0	5.6 Gbp	0.0	150.0	33.0	40.296521342849914	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
M-T-22_R1_001	M-T-22_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33527679.0	5 Gbp	0.0	150.0	33.0	40.964253974597256	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-22_R2_001	M-T-22_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33527679.0	5 Gbp	0.0	150.0	33.0	41.67290678868075	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-235_R1_001	M-T-235_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966847.0	5.3 Gbp	0.0	150.0	33.0	34.091126520242966	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-235_R2_001	M-T-235_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35966847.0	5.3 Gbp	0.0	150.0	33.0	33.97541897324696	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-245_R1_001	M-T-245_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29909520.0	4.4 Gbp	0.0	150.0	33.0	35.2689973692647	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-245_R2_001	M-T-245_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29909520.0	4.4 Gbp	0.0	150.0	34.0	35.09634351560811	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-29_R1_001	M-T-29_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36176060.0	5.4 Gbp	0.0	150.0	33.0	38.59986015548033	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-29_R2_001	M-T-29_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36176060.0	5.4 Gbp	0.0	150.0	33.0	38.44795156626726	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-31_R1_001	M-T-31_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31829493.0	4.7 Gbp	0.0	150.0	33.0	41.90413090894852	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-31_R2_001	M-T-31_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31829493.0	4.7 Gbp	0.0	150.0	34.0	42.95639989763319	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-32_R1_001	M-T-32_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37915821.0	5.6 Gbp	0.0	150.0	33.0	43.39950151560594	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn
M-T-32_R2_001	M-T-32_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37915821.0	5.6 Gbp	0.0	150.0	33.0	43.86191972330262	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	warn
M-T-399_R1_001	M-T-399_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39457912.0	5.9 Gbp	0.0	150.0	33.0	39.2392030541091	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	warn
M-T-399_R2_001	M-T-399_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39457912.0	5.9 Gbp	0.0	150.0	33.0	38.544661415485834	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	warn
M-T-43_R1_001	M-T-43_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50292908.0	7.5 Gbp	0.0	150.0	33.0	36.40708612678602	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-43_R2_001	M-T-43_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50292908.0	7.5 Gbp	0.0	150.0	33.0	36.75546315000261	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-44_R1_001	M-T-44_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36464096.0	5.4 Gbp	0.0	150.0	33.0	41.24241212036152	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-44_R2_001	M-T-44_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36464096.0	5.4 Gbp	0.0	150.0	33.0	40.34019105198889	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-500_R1_001	M-T-500_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37240310.0	5.5 Gbp	0.0	150.0	33.0	39.125080370000234	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-500_R2_001	M-T-500_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37240310.0	5.5 Gbp	0.0	150.0	33.0	37.882142084176934	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-7_R1_001	M-T-7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42197219.0	6.3 Gbp	0.0	150.0	33.0	39.93542485328615	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	warn
M-T-7_R2_001	M-T-7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42197219.0	6.3 Gbp	0.0	150.0	34.0	41.40646927125138	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	warn
M-T-83_R1_001	M-T-83_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38162689.0	5.7 Gbp	0.0	150.0	33.0	38.41179095221015	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-83_R2_001	M-T-83_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38162689.0	5.7 Gbp	0.0	150.0	33.0	37.20670105009638	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
M-T-8_R1_001	M-T-8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32525548.0	4.8 Gbp	0.0	150.0	33.0	40.17992703410558	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
M-T-8_R2_001	M-T-8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32525548.0	4.8 Gbp	0.0	150.0	33.0	41.574993176534605	150.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
