From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
Q8NEF3	Q8NEF3	reviewed	CC112_HUMAN	Coiled-coil domain-containing protein 112 (Mutated in bladder cancer protein 1)	CCDC112 MBC1	Homo sapiens (Human)	446	GO:0005737; GO:0034451
Q647I9	Q647I9	reviewed	NALP5_BOVIN	NACHT, LRR and PYD domains-containing protein 5 (Mater protein homolog)	NLRP5 MATER NALP5	Bos taurus (Bovine)	1098	GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005794; GO:0005829; GO:0005938; GO:0006887; GO:0007015; GO:0032879; GO:0040019; GO:0042585; GO:0048471; GO:0050727; GO:0051293; GO:0051302; GO:0051656; GO:0060471; GO:0060473; GO:0106333
A7MCS3	A7MCS3	reviewed	CP089_DANRE	UPF0764 protein C16orf89 homolog		Danio rerio (Zebrafish) (Brachydanio rerio)	351	GO:0005576; GO:0005829; GO:0016020
O15974	O15974	reviewed	OPSD2_MIZYE	Rhodopsin, G0-coupled (G0-rhodopsin)	SCOP2	Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)	399	GO:0004930; GO:0005886; GO:0007601; GO:0007602; GO:0009881
Q3V6T2	Q3V6T2	reviewed	GRDN_HUMAN	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	CCDC88A APE GRDN KIAA1212	Homo sapiens (Human)	1871	GO:0001932; GO:0001965; GO:0003779; GO:0005080; GO:0005085; GO:0005092; GO:0005154; GO:0005158; GO:0005737; GO:0005783; GO:0005794; GO:0005813; GO:0005814; GO:0005829; GO:0005886; GO:0006260; GO:0006275; GO:0007264; GO:0007399; GO:0008017; GO:0010975; GO:0016020; GO:0016477; GO:0030027; GO:0030032; GO:0030142; GO:0030705; GO:0031122; GO:0031410; GO:0031682; GO:0031929; GO:0032147; GO:0032148; GO:0032956; GO:0035091; GO:0036064; GO:0042127; GO:0042169; GO:0042803; GO:0043184; GO:0043422; GO:0045724; GO:0045742; GO:0051496; GO:0051959; GO:0061024; GO:0072660; GO:1903566
Q16760	Q16760	reviewed	DGKD_HUMAN	Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107) (130 kDa diacylglycerol kinase) (Diglyceride kinase delta) (DGK-delta)	DGKD KIAA0145	Homo sapiens (Human)	1214	GO:0004143; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005905; GO:0006654; GO:0006897; GO:0007165; GO:0007205; GO:0015031; GO:0019900; GO:0019992; GO:0030168; GO:0031410; GO:0035556; GO:0042802; GO:0042803; GO:0045742; GO:0046339; GO:0046834; GO:0046872; GO:0046982; GO:0090038; GO:2000370
D4A2B7	D4A2B7	reviewed	AFG2B_RAT	ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1)	Afg2b Spata5l1	Rattus norvegicus (Rat)	747	GO:0005524; GO:0005634; GO:0005737; GO:0005819; GO:0016887; GO:0042273; GO:1990275
Q86W34	Q86W34	reviewed	AMZ2_HUMAN	Archaemetzincin-2 (EC 3.4.-.-) (Archeobacterial metalloproteinase-like protein 2)	AMZ2 BM-014	Homo sapiens (Human)	360	GO:0006508; GO:0008237; GO:0046872
A7T1N0	A7T1N0	reviewed	TMP2L_NEMVE	Transient receptor potential cation channel subfamily M member-like 2 (nvTRPM2)	TRPM2 v1g248535	Nematostella vectensis (Starlet sea anemone)	1551	GO:0005886; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0099604
P46100	P46100	reviewed	ATRX_HUMAN	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	ATRX RAD54L XH2	Homo sapiens (Human)	2492	GO:0000212; GO:0000228; GO:0000779; GO:0000781; GO:0000792; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005721; GO:0006281; GO:0006306; GO:0006325; GO:0006334; GO:0006338; GO:0006355; GO:0006366; GO:0007283; GO:0010571; GO:0015616; GO:0016604; GO:0016605; GO:0016887; GO:0030330; GO:0030900; GO:0031297; GO:0031490; GO:0031509; GO:0032206; GO:0035064; GO:0035128; GO:0035264; GO:0042393; GO:0045944; GO:0046872; GO:0060009; GO:0070087; GO:0070192; GO:0070198; GO:0072520; GO:0072711; GO:0099115; GO:0140658; GO:1901582; GO:1904908
Q99MW1	Q99MW1	reviewed	STK31_MOUSE	Serine/threonine-protein kinase 31 (EC 2.7.11.1)	Stk31	Mus musculus (Mouse)	1018	GO:0001669; GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0007283; GO:0016310; GO:0030719; GO:0034587; GO:0043186; GO:0106310
Q8WXB1	Q8WXB1	reviewed	MT21A_HUMAN	Protein N-lysine methyltransferase METTL21A (EC 2.1.1.-) (HSPA lysine methyltransferase) (HSPA-KMT) (Hepatocellular carcinoma-associated antigen 557b) (Methyltransferase-like protein 21A)	METTL21A FAM119A HCA557B	Homo sapiens (Human)	218	GO:0005654; GO:0005737; GO:0005829; GO:0006479; GO:0008276; GO:0016279; GO:0018022; GO:0030544; GO:0031072; GO:0032991; GO:0042054; GO:0051117
Q8VDC1	Q8VDC1	reviewed	FYCO1_MOUSE	FYVE and coiled-coil domain-containing protein 1	Fyco1	Mus musculus (Mouse)	1437	GO:0005764; GO:0005770; GO:0005776; GO:0005794; GO:0043231; GO:0046872; GO:0072383; GO:1901098
Q9Z280	Q9Z280	reviewed	PLD1_MOUSE	Phospholipase D1 (PLD 1) (mPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1)	Pld1	Mus musculus (Mouse)	1074	GO:0000139; GO:0004630; GO:0005768; GO:0005789; GO:0005794; GO:0006654; GO:0008654; GO:0009395; GO:0016324; GO:0030027; GO:0030139; GO:0030335; GO:0031902; GO:0031982; GO:0031985; GO:0032534; GO:0035091; GO:0043231; GO:0043434; GO:0045202; GO:0045727; GO:0048471; GO:0050830; GO:0060627; GO:0070290; GO:0098693; GO:0098981
Q9Z0H0	Q9Z0H0	reviewed	CDC7_MOUSE	Cell division cycle 7-related protein kinase (CDC7-related kinase) (muCdc7) (EC 2.7.11.1)	Cdc7 Cdc7l1	Mus musculus (Mouse)	564	GO:0000727; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0007165; GO:0008284; GO:0010571; GO:0010971; GO:0016301; GO:0016310; GO:0044770; GO:0045171; GO:0046872; GO:0051301; GO:0072686; GO:0106310
Q9UHK6	Q9UHK6	reviewed	AMACR_HUMAN	Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase)	AMACR	Homo sapiens (Human)	382	GO:0005102; GO:0005737; GO:0005739; GO:0005777; GO:0005782; GO:0005829; GO:0005886; GO:0006699; GO:0008111; GO:0008206; GO:0033540; GO:0043231
P51910	P51910	reviewed	APOD_MOUSE	Apolipoprotein D (Apo-D) (ApoD)	Apod	Mus musculus (Mouse)	189	GO:0000302; GO:0005615; GO:0005737; GO:0005783; GO:0006006; GO:0006629; GO:0006869; GO:0007420; GO:0010642; GO:0014012; GO:0015485; GO:0022626; GO:0030425; GO:0042246; GO:0042308; GO:0043025; GO:0048471; GO:0048662; GO:0048678; GO:0051895; GO:0060588; GO:0071638; GO:1900016; GO:2000098; GO:2000405
Q6DIS8	Q6DIS8	reviewed	LZTS2_XENTR	Leucine zipper putative tumor suppressor 2 homolog (Protein lapser1)	lzts2 lapser1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	683	GO:0000281; GO:0005737; GO:0005813; GO:0005874; GO:0016055; GO:0030178; GO:0030496; GO:0051013; GO:0051168; GO:0051255
P97872	P97872	reviewed	FMO5_MOUSE	Flavin-containing monooxygenase 5 (FMO 5) (Dimethylaniline monooxygenase [N-oxide-forming] 5) (EC 1.14.13.8) (Dimethylaniline oxidase 5) (Hepatic flavin-containing monooxygenase 5) (NADPH oxidase) (EC 1.6.3.1)	Fmo5	Mus musculus (Mouse)	533	GO:0004031; GO:0004497; GO:0004499; GO:0005783; GO:0005789; GO:0005829; GO:0006629; GO:0006805; GO:0047822; GO:0050660; GO:0050661; GO:0070995; GO:0090181; GO:0106294
P34611	P34611	reviewed	NCL1_CAEEL	B-box type zinc finger protein ncl-1	ncl-1 ZK112.2	Caenorhabditis elegans	851	GO:0003730; GO:0005737; GO:0008270; GO:0016479; GO:0016480; GO:0017126; GO:0017148; GO:0030371; GO:0042254; GO:0072697; GO:0090071; GO:2000114
D3ZQL6	D3ZQL6	reviewed	MILK1_RAT	MICAL-like protein 1	Micall1	Rattus norvegicus (Rat)	855	GO:0005770; GO:0006612; GO:0006897; GO:0006898; GO:0010008; GO:0010009; GO:0031175; GO:0031267; GO:0031902; GO:0032456; GO:0032458; GO:0036010; GO:0042802; GO:0046872; GO:0055038; GO:0070300; GO:0097320; GO:1990090
Q02224	Q02224	reviewed	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	Homo sapiens (Human)	2701	GO:0000278; GO:0000775; GO:0000776; GO:0000779; GO:0003777; GO:0005524; GO:0005634; GO:0005694; GO:0005828; GO:0005829; GO:0005874; GO:0007018; GO:0007052; GO:0007059; GO:0007079; GO:0007080; GO:0008017; GO:0015630; GO:0016020; GO:0030071; GO:0030496; GO:0043231; GO:0043515; GO:0045171; GO:0045860; GO:0051233; GO:0051301; GO:0051310; GO:0051315; GO:0051382; GO:0072686; GO:0099606; GO:0099607; GO:1990023
Q9CQ02	Q9CQ02	reviewed	COMD4_MOUSE	COMM domain-containing protein 4	Commd4	Mus musculus (Mouse)	199	GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0043231
P81274	P81274	reviewed	GPSM2_HUMAN	G-protein-signaling modulator 2 (Mosaic protein LGN)	GPSM2 LGN	Homo sapiens (Human)	684	GO:0000132; GO:0000166; GO:0001965; GO:0005092; GO:0005737; GO:0005813; GO:0005829; GO:0005938; GO:0007052; GO:0007186; GO:0016328; GO:0019904; GO:0031291; GO:0032991; GO:0042802; GO:0043621; GO:0051301; GO:0051661; GO:0060236; GO:0070840; GO:0097431; GO:0097575; GO:0099738; GO:1904778; GO:1905832
P12815	P12815	reviewed	PDCD6_MOUSE	Programmed cell death protein 6 (ALG-257) (Apoptosis-linked gene 2 protein) (ALG-2) (PMP41)	Pdcd6 Alg2	Mus musculus (Mouse)	191	GO:0000287; GO:0001525; GO:0001938; GO:0005509; GO:0005634; GO:0005654; GO:0005737; GO:0005768; GO:0005783; GO:0005789; GO:0005829; GO:0006886; GO:0006888; GO:0006915; GO:0010595; GO:0014029; GO:0014032; GO:0030127; GO:0030674; GO:0030948; GO:0031410; GO:0031463; GO:0032007; GO:0034605; GO:0036324; GO:0042802; GO:0042803; GO:0043495; GO:0045766; GO:0046983; GO:0048208; GO:0048306; GO:0051592; GO:0051898; GO:0070971; GO:1902527; GO:1990756
Q9BSU1	Q9BSU1	reviewed	PHAF1_HUMAN	Phagosome assembly factor 1	PHAF1 C16orf6 C16orf70	Homo sapiens (Human)	422	GO:0000407; GO:0005802; GO:0030425; GO:0030672; GO:0043001
P07607	P07607	reviewed	TYSY_MOUSE	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Tyms	Mus musculus (Mouse)	307	GO:0000900; GO:0003729; GO:0004799; GO:0005542; GO:0005634; GO:0005737; GO:0005739; GO:0005743; GO:0005759; GO:0005829; GO:0006231; GO:0006235; GO:0006417; GO:0007623; GO:0009410; GO:0009636; GO:0017148; GO:0019860; GO:0032259; GO:0032570; GO:0033189; GO:0034097; GO:0035999; GO:0042803; GO:0045471; GO:0046683; GO:0048589; GO:0051216; GO:0051384; GO:0051593; GO:0060574; GO:0097421; GO:1901363; GO:1990825
Q5NVI9	Q5NVI9	reviewed	DNJA1_PONAB	DnaJ homolog subfamily A member 1	DNAJA1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	396	GO:0001671; GO:0005524; GO:0005634; GO:0005739; GO:0005783; GO:0006457; GO:0009408; GO:0016020; GO:0030544; GO:0043065; GO:0043066; GO:0043508; GO:0046872; GO:0048471; GO:0051082; GO:0051087; GO:0051223; GO:0070585
