"","gene.x","ncbi_id","cds","protein","protein_id","location","gbkey","saccver","SPID","gene.Uni","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.y","X","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"11","LOC132729160",132729160,"lcl|NW_026865466.1_cds_XP_060570889.1_50350","zinc finger protein 267-like isoform X1","XP_060570889.1","join(94335..94440,94727..94807,94916..95725,98386..98903)","CDS","sp|A2T736|ZKSC8_PANTR","A2T736","ZKSC8","PANTR",33.203,256,121,10,766,1446,303,537,1.37e-26,117,30.7258004523078,-1.29576858109547,0.328310440850828,-3.94677847508425,7.92097815437209e-05,0.0280195172475015,"LOC132729160","LOC132729160",4.34608020493279,5.03952187244298,4.74687427144112,5.03285543822816,5.50234007451268,4.15752448289372,4.49478330580404,5.04464039151959,5.29645211010488,6.9003352692485,6.10986952781987,6.17042604850679,4.97351415395905,4.58620943605031,6.37235276434563,5.08308145230009,3.7831586538444,4.17547695743514,4.09117998788941,5.29640004392285,1.99671955743814,3.59800435829553,4.93784451438427,3.80472871994134,3.20181470663915,4.51132873529954,3.27454267567575,2.73374212776537,4.8852686851375,4.42054043515821
"12","LOC132729677",132729677,"lcl|NW_026865596.1_cds_XP_060571471.1_50869","transcriptional regulator ATRX-like isoform X3","XP_060571471.1","join(65394..65450,66628..66771,67084..67212,68178..68240,73643..77098,77967..78104,78974..79543,80789..80905,83562..83663,86782..86898,87910..87998,88889..88981,95011..95073,95463..95539,96114..96211)","CDS","sp|O43303|CP110_HUMAN","O43303","CP110","HUMAN",38.378,185,99,3,4558,5112,790,959,5.24e-27,124,540.891416070394,-0.586726180379987,0.142804787613786,-4.1085890059007,3.98083784308081e-05,0.0197144359448839,"LOC132729677","LOC132729677",8.79117313445345,9.95725661101791,9.38987606806447,8.87178608567915,9.22745233554817,9.43126347015418,9.272967274261,9.82457603838027,8.13722911404584,9.40390008119423,9.35491343315273,9.65252724232552,9.07248806262798,9.13125962006269,9.72762933315152,8.8202869017771,8.39016674963452,8.31166776966403,8.88614712488401,8.49204484473845,8.99281247359028,8.78798789681583,8.35746617227471,8.8409941366937,9.02538822185723,8.73099552346592,8.98112177418078,8.85434417014982,9.17162765617655,8.37579716149837
"13","LOC132730403",132730403,"lcl|NW_026865813.1_cds_XP_060572302.1_51632","coiled-coil domain-containing protein 112-like","XP_060572302.1","join(130656..130676,132541..132638,133155..133276,133594..133683,134475..134550,135278..135467,136017..136103,136441..136590,138611..138838,139626..139775,140242..140337,140824..140945,141662..141692)","CDS","sp|Q8NEF3|CC112_HUMAN","Q8NEF3","CC112","HUMAN",40.135,446,258,6,130,1455,1,441,6.82e-79,256,394.912227653451,-1.16780632472633,0.266366395114045,-4.38421041898448,1.16407215543997e-05,0.0085795230780683,"LOC132730403","LOC132730403",7.24809589654425,9.61362932399224,7.5770102986508,9.99887202033499,8.73521302852294,10.1840946401302,9.36338625105338,9.07546520804511,7.93194351568998,9.06531517252896,8.72385649989253,9.11515844912518,8.36122972098318,8.31489614844031,9.76791451419026,6.83804079282861,8.16910041511624,7.65849455498724,7.79555940047944,7.53380650252728,7.77043148651817,6.2370685327417,7.54161083247675,8.38749230892918,8.6418327089543,8.22966264104467,8.32625025879184,6.8435210298491,8.11064200845067,8.73191449892528
"14","LOC132730855",132730855,"lcl|NW_026865957.1_cds_XP_060572912.1_52142","NACHT, LRR and PYD domains-containing protein 3-like isoform X2","XP_060572912.1","join(42544..42625,44026..46280)","CDS","sp|Q647I9|NALP5_BOVIN","Q647I9","NALP5","BOVIN",32.155,283,188,4,1336,2172,751,1033,2.75e-23,110,29.8583586632429,-1.40041576188996,0.3740202133211,-3.74422480928242,0.000180951582342503,0.0401253381919785,"LOC132730855","LOC132730855",4.52983077106045,5.22667326322869,5.68865495092923,4.94268098581672,6.58046756860426,4.60437716065203,4.55898594384658,4.33652478375707,1.54349231254338,6.27402867210509,5.962405350668,5.12190368183167,5.29660435642182,4.58620943605031,6.86635266622783,3.27158688830784,4.63412998146666,4.09770375001356,4.58013320465336,4.15019947510466,4.80313583850755,3.59800435829553,3.64740638880996,5.00624828989427,3.20181470663915,3.51938878909185,2.08876297918038,2.73374212776537,3.35203573326295,5.38645653269846
"15","LOC132732296",132732296,"lcl|NW_026866367.1_cds_XP_060574669.1_53756","ATP-dependent 6-phosphofructokinase, muscle type-like isoform X1","XP_060574669.1","join(10498..10645,16292..16365,17651..17728,18857..19046,19812..19977,20670..20714,22224..22332,22782..22877,25485..25577,26435..26560,27301..27365,29598..29676,35568..35714,39000..39053,46833..46903,47432..47522,49175..49327,50408..50572,51816..51880,54179..54393,55228..55333,56258..56396)","CDS","sp|Q867C9|PFKAM_HORSE","Q867C9","PFKAM","HORSE",62.402,766,263,5,106,2403,15,755,0,981,363.543263753277,0.764674663845018,0.1869419388633,4.09043935509934,4.30556785552664e-05,0.0206347811708256,"LOC132732296","LOC132732296",7.75806683378818,8.50448130351276,8.22865543738334,7.93651485506851,8.65815621603741,7.85586438654998,8.10296651534683,8.01928765788159,8.09743419817624,7.8534316346455,6.52469108497705,7.42929733642613,8.69508181085868,8.0505715848693,8.29050027406114,9.47697276235927,9.24356244415379,8.6616921649892,9.51145524129596,7.88006057187981,9.03729188392606,8.25448918592299,8.76777333186516,9.04375530478582,8.90096867189511,8.35793447534648,7.86484645261117,8.34325988689403,9.05155094733188,8.96913927597085
"16","LOC132732878",132732878,"lcl|NW_026866557.1_cds_XP_060575388.1_54402","uncharacterized protein LOC132732878","XP_060575388.1","complement(join(44179..44331,44703..44864,45719..45788,46230..46457,46777..46967,49064..49201,50807..50921,51354..51463,52863..52970,53198..53267,54302..54381,54836..54893,55660..55910,56574..56715,57297..57415,57886..58120,58741..59186,59608..59733,60062..60871,62617..62656,65322..67917,68008..74043,74534..74727,75301..75520,76371..76517,77626..77711,78537..78621,80051..80155,82542..82639,86835..86982,87452..87530,88909..88990,91592..91666,96648..96834,103438..103576))","CDS","sp|Q61493|REV3L_MOUSE","Q61493","REV3L","MOUSE",55.478,1004,372,9,10921,13920,2190,3122,0,1162,140.008076235436,-0.524284560998469,0.141476501041537,-3.70580666851903,0.000210718993498733,0.0415174754524469,"LOC132732878","LOC132732878",6.97995929800533,7.45326397689712,7.41543598449611,7.43387242443017,6.99932498793476,7.81493916167898,7.12420780383297,7.50009845155954,6.86860113103029,7.78989863700515,7.14895430022055,7.35175975778343,7.52852363724296,7.64172983504863,7.18038872964756,6.43804466202389,6.14555082793687,6.56805822688684,7.17241478194945,7.32353112460906,6.93817454964159,6.82273787544464,6.65333293267819,7.05896897315932,6.43343822859314,6.24815423525598,6.57532929546891,7.38650091426778,7.10140918536316,7.22472356165471
"17","LOC132733594",132733594,"lcl|NW_026866764.1_cds_XP_060576237.1_55171","actin, clone 302-like","XP_060576237.1","257069..258226","CDS","sp|Q964E1|ACTC_BIOOB","Q964E1","ACTC","BIOOB",53.175,378,173,3,22,1155,3,376,3.81e-154,442,11.0797698027299,3.16078420526445,0.717634441974202,4.40444886754484,1.06053150870549e-05,0.00853382656088711,"LOC132733594","LOC132733594",2.70598659696115,1.09685797421702,0,0,0,1.19902336409978,3.35528285345882,0.848109786513921,1.95326120707533,2.11143057172391,2.75529734549945,1.08907850790642,0,0,1.67018259509324,5.15495239931991,3.24966337100843,1.53436065305504,6.70236780913776,2.80408058766861,1.58204692034842,2.44455797803114,3.73924610962465,4.12386607205047,4.12120663915983,2.99600095621335,6.40113577701439,0.853914427230997,0.941923836002986,1.09366764208606
"18","LOC132734395",132734395,"lcl|NW_026866981.1_cds_XP_060577116.1_55953","thyroid receptor-interacting protein 11-like isoform X5","XP_060577116.1","join(134000..134093,142299..142375,144035..144145,146279..146378,149395..149540,154331..154396,155626..155802,156353..156539,156964..157067,158839..158973,160300..160417,161000..161134,163091..163371,164948..165035,166365..170536,170948..171019,171657..171778,172647..172810,173274..173377,185609..185708,194172..194253,195470..195584,196242..196379,196756..197112)","CDS","sp|Q15643|TRIPB_HUMAN","Q15643","TRIPB","HUMAN",34.039,614,355,13,5461,7236,1392,1977,2.25e-79,297,509.426124325621,-0.693436689269475,0.16771321982171,-4.13465730373934,3.55484695118085e-05,0.018862271840605,"LOC132734395","LOC132734395",8.38121067997258,9.93896025443349,9.1766751324705,8.61869989386208,9.64733563242335,9.98449338052788,9.86352192670844,9.04519397799388,8.53369418578416,8.7537127521837,8.81572989571879,9.219791034437,9.15463360010142,9.29881872693685,9.72762933315152,8.4471434880405,7.85055446869773,8.36658521081217,9.07578721803939,9.1686133591936,8.66097112769792,8.47770593825267,8.26392536900775,8.63670028295157,8.63688742215072,8.13435671930199,8.8516225685527,8.72818134293943,8.67935062988517,8.59897630254438
"19","LOC132738510",132738510,"lcl|NW_026851741.1_cds_XP_060581999.1_835","centrosome-associated protein 350-like","XP_060581999.1","complement(join(<205..341,2234..2314,5625..5888,7506..7630,7927..8070,8613..8898,9516..9659,13793..14011,14511..14664,16884..16976,19142..19376,22967..23159,24672..24844,25209..25346,28077..28498,31540..31661,32237..32553,32907..33152,36970..37068,40419..40520,41803..41934,42244..42429,49459..>49524))","CDS","sp|Q5VT06|CE350_HUMAN","Q5VT06","CE350","HUMAN",52.809,178,72,4,3340,3843,1608,1783,1.53e-34,149,114.224230022783,-0.944210619047365,0.253840755605541,-3.71969669249895,0.000199462163461081,0.0411787956100786,"LOC132738510","LOC132738510",5.78997837334059,8.00702059760256,7.12146826400684,7.33098831712364,6.65447377398753,7.24143668466437,6.70908071913275,8.2642264961855,5.79642369746778,6.77468683242957,7.63981940452327,7.18293837293664,6.19183212565315,7.06907957592303,8.10281485777328,6.74795223385889,5.41636832005522,6.24632664507334,7.18383104209301,6.79581898533102,6.06177901221671,5.87692572523373,4.48635006004,6.58716415518266,6.35128687588959,5.71319218092191,6.06955709095515,6.87363294040381,6.24046990194613,6.0613705463495
"20","LOC132741452",132741452,"lcl|NW_026854897.1_cds_XP_060585598.1_11743","rho GTPase-activating protein gacU-like isoform X2","XP_060585598.1","join(126354..126482,128439..128521,128932..129028,129788..130156,130553..130754,131846..132092,132483..132574,132919..133048,135565..135664,139118..141625)","CDS","sp|Q80Y19|RHGBA_MOUSE","Q80Y19","RHGBA","MOUSE",30.663,362,206,9,97,1149,22,349,3.22e-32,140,3020.53903848456,-0.647585516250985,0.139132015773605,-4.65446800759888,3.24818263989006e-06,0.0037121730369882,"LOC132741452","LOC132741452",11.4758534478572,11.9594720781156,12.0784071813924,12.08206966376,12.1422575223214,12.3287301575471,11.7627951677607,12.0954531085737,11.1655830938054,11.5438283095387,11.5802486426755,11.9402853914496,11.2686015623526,11.7036329313165,12.0496816751732,11.3047692906666,10.5733595071879,11.3449832978353,11.6848725340255,11.4477008137154,10.8736776581153,11.0838662245366,10.5905952748233,11.4977157153396,11.5063037523245,10.4990092307387,11.2210694576861,11.0285497195052,11.6508714265395,11.0040994618137
"21","LOC132742857",132742857,"lcl|NW_026855305.1_cds_XP_060587330.1_13304","RNA-binding motif protein, X-linked 2-like","XP_060587330.1","join(269941..269954,270511..270669,271225..271354,271958..272141,273254..273930)","CDS","sp|Q8R0F5|RBMX2_MOUSE","Q8R0F5","RBMX2","MOUSE",67.974,153,48,1,1,456,1,153,2.47e-73,234,560.056293423501,-0.872955017790671,0.230727335910288,-3.7834919488261,0.0001546433292002,0.0376645236381537,"LOC132742857","LOC132742857",8.38518958730531,9.37714358092976,10.1211361515928,9.42760107776154,9.37703046015472,10.0209375161358,8.35882757924856,9.13005168736433,9.19010937167826,10.3202965683726,10.4046909736358,9.28902552212778,9.18566731361236,9.09336037393684,9.01145509233754,8.04061573857004,8.8123465900292,8.567468527009,8.57974815360425,7.83539971472678,8.15551107605777,8.19009646256274,8.58491448368422,9.31262753545712,7.89572683968981,7.95327473423139,8.51344794388413,7.58761540154011,9.70968383059035,9.58438279215619
"22","LOC132743875",132743875,"lcl|NW_026855610.1_cds_XP_060588437.1_14296","nucleolar MIF4G domain-containing protein 1-like","XP_060588437.1","complement(join(8609..8884,10521..10652,11608..11772,12545..12672,13045..13170,13584..13814,15203..15296,17523..17644,17993..18181,18580..18605,18965..19799,21251..21316,22136..22280,22988..23119,25012..25203))","CDS","sp|Q5C9Z4|NOM1_HUMAN","Q5C9Z4","NOM1","HUMAN",48.463,553,262,11,1216,2850,321,858,1.04e-147,462,120.999709714679,-0.781148320463634,0.205052949501262,-3.80949565643202,0.000139250552815355,0.0372328654000836,"LOC132743875","LOC132743875",6.67655497717019,7.68649386436686,7.22264127758175,6.60782940741471,7.66888302226009,7.76424539378924,6.34033179100039,6.99347344156645,6.31314976900201,6.77468683242957,8.10922160446424,7.32157401800305,6.25703736787445,7.90501901116633,7.52617910422019,6.20397367810017,6.67646635426087,6.47884106488526,6.44210145427064,7.03841480746048,6.79007976221137,5.82132384499724,6.61747708418557,7.11405573935548,6.08695537759811,5.47934684456066,6.87102220635432,6.2648260492947,6.51201593443274,6.01151581363715
"23","LOC132746399",132746399,"lcl|NW_026856403.1_cds_XP_060591504.1_17037","FYVE and coiled-coil domain-containing protein 1-like","XP_060591504.1","join(244740..244917,245325..245444,245898..246010,246523..246629,247547..247690,247893..247977,248382..248641,249111..249467,249688..249820,250936..252438,252627..255905,256338..256472,257153..257224,258924..258971,259772..259890,260508..260646,261012..261085,261674..261849,262517..262718,263987..264106,265802..265961,266730..266899,267500..267557)","CDS","sp|Q8VDC1|FYCO1_MOUSE","Q8VDC1","FYCO1","MOUSE",52.907,172,81,0,157,672,12,183,7.67e-58,226,80.8726248757508,-1.32407557553027,0.275015547254877,-4.8145480819059,1.4753337945276e-06,0.00302186398532795,"LOC132746399","LOC132746399",5.27628952953365,6.31438781101382,7.93600984814608,7.72737321676371,6.92949936638874,8.01609823792826,6.24597314346219,6.40964191603359,5.55335518350816,6.87334382428336,7.10943761124955,5.69298924435225,7.07749949880229,5.22298057660165,6.72468216542612,4.79892898859898,4.68275127727934,5.70620478480942,5.54965662879115,5.46224023944634,6.31760728855767,5.47004829000648,5.21876764287522,5.60209181631184,6.12982647546675,5.61390745835799,6.15986504878392,5.88588360447826,4.8852686851375,4.42054043515821
"24","LOC132746437",132746437,"lcl|NW_026856414.1_cds_XP_060591559.1_17085","uncharacterized protein LOC132746437","XP_060591559.1","join(368595..369544,370510..374002)","CDS","sp|Q9C0G0|ZN407_HUMAN","Q9C0G0","ZN407","HUMAN",34.314,408,243,7,2515,3708,1405,1797,1.76e-61,237,128.099938520346,-0.68226311735013,0.169263866513192,-4.03076646779162,5.559526087051e-05,0.0242934938456814,"LOC132746437","LOC132746437",6.95875621497265,7.15199644520364,7.31718183173584,7.40038637875088,7.58809732115364,7.58111601550974,7.4880159655654,6.50169030971852,7.15693722342077,7.48572872206587,6.83442112262033,7.28031805467425,7.04093895155307,7.52320437939439,7.82587332252183,6.30220409006433,5.29651129492512,6.46342001626307,6.68640379313905,6.87150040594742,6.72358621261318,6.35923102353314,6.29316946460723,7.12303578807219,7.40775273771406,6.14524036212439,6.80258460744161,5.90544890956395,6.90472964113191,6.97450047623593
"25","LOC132746792",132746792,"lcl|NW_026856504.1_cds_XP_060592026.1_17503","phospholipase D1-like","XP_060592026.1","join(77330..77358,82391..82548,87950..88112,100183..100311,103876..104011,110441..110506,111677..111834,122931..>123083)","CDS","sp|Q9Z280|PLD1_MOUSE","Q9Z280","PLD1","MOUSE",37.086,302,169,7,97,990,19,303,8.52e-43,161,60.5513968574354,-1.14140148907828,0.238042534000921,-4.79494765029625,1.62717317645713e-06,0.00302186398532795,"LOC132746792","LOC132746792",5.78997837334059,6.52529666742304,5.48650100558967,5.76967621328101,6.38563512950317,7.13904925695242,6.16577456637658,6.40964191603359,5.39822533580014,7.45874541445936,5.43231575196302,6.99171099124119,6.79967867262331,5.76317826193942,6.37235276434563,4.3252118190234,4.10196356576328,5.24730880913005,5.51392029974647,5.10898992201973,5.48757489272077,4.90126874611842,5.37008729633384,5.18839056553755,5.21807438701997,5.85037624936066,6.09266955339127,4.60966922960836,5.92767699611923,4.63327648759653
